DATE;ICSA;shifted_date
2010-01-02;456000;2010-01-01
2010-01-09;469000;2010-01-08
2010-01-16;507000;2010-01-15
2010-01-23;471000;2010-01-22
2010-01-30;496000;2010-01-29
2010-02-06;466000;2010-02-05
2010-02-13;489000;2010-02-12
2010-02-20;500000;2010-02-19
2010-02-27;488000;2010-02-26
2010-03-06;472000;2010-03-05
2010-03-13;478000;2010-03-12
2010-03-20;472000;2010-03-19
2010-03-27;459000;2010-03-26
2010-04-03;479000;2010-04-02
2010-04-10;479000;2010-04-09
2010-04-17;469000;2010-04-16
2010-04-24;449000;2010-04-23
2010-05-01;451000;2010-04-30
2010-05-08;451000;2010-05-07
2010-05-15;474000;2010-05-14
2010-05-22;463000;2010-05-21
2010-05-29;458000;2010-05-28
2010-06-05;459000;2010-06-04
2010-06-12;467000;2010-06-11
2010-06-19;452000;2010-06-18
2010-06-26;464000;2010-06-25
2010-07-03;454000;2010-07-02
2010-07-10;439000;2010-07-09
2010-07-17;462000;2010-07-16
2010-07-24;465000;2010-07-23
2010-07-31;476000;2010-07-30
2010-08-07;483000;2010-08-06
2010-08-14;486000;2010-08-13
2010-08-21;464000;2010-08-20
2010-08-28;467000;2010-08-27
2010-09-04;452000;2010-09-03
2010-09-11;444000;2010-09-10
2010-09-18;459000;2010-09-17
2010-09-25;459000;2010-09-24
2010-10-02;446000;2010-10-01
2010-10-09;459000;2010-10-08
2010-10-16;444000;2010-10-15
2010-10-23;432000;2010-10-22
2010-10-30;453000;2010-10-29
2010-11-06;434000;2010-11-05
2010-11-13;432000;2010-11-12
2010-11-20;407000;2010-11-19
2010-11-27;432000;2010-11-26
2010-12-04;428000;2010-12-03
2010-12-11;425000;2010-12-10
2010-12-18;424000;2010-12-17
2010-12-25;404000;2010-12-24
2011-01-01;413000;2010-12-31
2011-01-08;434000;2011-01-07
2011-01-15;421000;2011-01-14
2011-01-22;446000;2011-01-21
2011-01-29;420000;2011-01-28
2011-02-05;402000;2011-02-04
2011-02-12;425000;2011-02-11
2011-02-19;394000;2011-02-18
2011-02-26;385000;2011-02-25
2011-03-05;414000;2011-03-04
2011-03-12;404000;2011-03-11
2011-03-19;407000;2011-03-18
2011-03-26;399000;2011-03-25
2011-04-02;395000;2011-04-01
2011-04-09;416000;2011-04-08
2011-04-16;402000;2011-04-15
2011-04-23;422000;2011-04-22
2011-04-30;468000;2011-04-29
2011-05-07;435000;2011-05-06
2011-05-14;414000;2011-05-13
2011-05-21;423000;2011-05-20
2011-05-28;418000;2011-05-27
2011-06-04;423000;2011-06-03
2011-06-11;413000;2011-06-10
2011-06-18;416000;2011-06-17
2011-06-25;421000;2011-06-24
2011-07-02;418000;2011-07-01
2011-07-09;408000;2011-07-08
2011-07-16;420000;2011-07-15
2011-07-23;411000;2011-07-22
2011-07-30;406000;2011-07-29
2011-08-06;405000;2011-08-05
2011-08-13;409000;2011-08-12
2011-08-20;415000;2011-08-19
2011-08-27;409000;2011-08-26
2011-09-03;414000;2011-09-02
2011-09-10;429000;2011-09-09
2011-09-17;422000;2011-09-16
2011-09-24;406000;2011-09-23
2011-10-01;405000;2011-09-30
2011-10-08;410000;2011-10-07
2011-10-15;395000;2011-10-14
2011-10-22;403000;2011-10-21
2011-10-29;399000;2011-10-28
2011-11-05;392000;2011-11-04
2011-11-12;383000;2011-11-11
2011-11-19;385000;2011-11-18
2011-11-26;397000;2011-11-25
2011-12-03;387000;2011-12-02
2011-12-10;368000;2011-12-09
2011-12-17;368000;2011-12-16
