Date;UNRATE
2010-01-01;9.8
2010-01-08;9.8
2010-01-15;9.8
2010-01-22;9.8
2010-01-29;9.8
2010-02-05;9.8
2010-02-12;9.8
2010-02-19;9.8
2010-02-26;9.8
2010-03-05;9.9
2010-03-12;9.9
2010-03-19;9.9
2010-03-26;9.9
2010-04-02;9.9
2010-04-09;9.9
2010-04-16;9.9
2010-04-23;9.9
2010-04-30;9.9
2010-05-07;9.6
2010-05-14;9.6
2010-05-21;9.6
2010-05-28;9.6
2010-06-04;9.4
2010-06-11;9.4
2010-06-18;9.4
2010-06-25;9.4
2010-07-02;9.4
2010-07-09;9.4
2010-07-16;9.4
2010-07-23;9.4
2010-07-30;9.4
2010-08-06;9.5
2010-08-13;9.5
2010-08-20;9.5
2010-08-27;9.5
2010-09-03;9.5
2010-09-10;9.5
2010-09-17;9.5
2010-09-24;9.5
2010-10-01;9.4
2010-10-08;9.4
2010-10-15;9.4
2010-10-22;9.4
2010-10-29;9.4
2010-11-05;9.8
2010-11-12;9.8
2010-11-19;9.8
2010-11-26;9.8
2010-12-03;9.3
2010-12-10;9.3
2010-12-17;9.3
2010-12-24;9.3
2010-12-31;9.3
2011-01-07;9.1
2011-01-14;9.1
2011-01-21;9.1
2011-01-28;9.1
2011-02-04;9.0
2011-02-11;9.0
2011-02-18;9.0
2011-02-25;9.0
2011-03-04;9.0
2011-03-11;9.0
2011-03-18;9.0
2011-03-25;9.0
2011-04-01;9.1
2011-04-08;9.1
2011-04-15;9.1
2011-04-22;9.1
2011-04-29;9.1
2011-05-06;9.0
2011-05-13;9.0
2011-05-20;9.0
2011-05-27;9.0
2011-06-03;9.1
2011-06-10;9.1
2011-06-17;9.1
2011-06-24;9.1
2011-07-01;9.0
2011-07-08;9.0
2011-07-15;9.0
2011-07-22;9.0
2011-07-29;9.0
2011-08-05;9.0
2011-08-12;9.0
2011-08-19;9.0
2011-08-26;9.0
2011-09-02;9.0
2011-09-09;9.0
2011-09-16;9.0
2011-09-23;9.0
2011-09-30;9.0
2011-10-07;8.8
2011-10-14;8.8
2011-10-21;8.8
2011-10-28;8.8
2011-11-04;8.6
2011-11-11;8.6
2011-11-18;8.6
2011-11-25;8.6
2011-12-02;8.5
2011-12-09;8.5
2011-12-16;8.5
2011-12-23;8.5
2011-12-30;8.5
2012-01-06;8.3
2012-01-13;8.3
2012-01-20;8.3
2012-01-27;8.3
2012-02-03;8.3
2012-02-10;8.3
2012-02-17;8.3
2012-02-24;8.3
2012-03-02;8.2
2012-03-09;8.2
2012-03-16;8.2
2012-03-23;8.2
2012-03-30;8.2
2012-04-06;8.2
2012-04-13;8.2
2012-04-20;8.2
2012-04-27;8.2
2012-05-04;8.2
2012-05-11;8.2
2012-05-18;8.2
2012-05-25;8.2
2012-06-01;8.2
2012-06-08;8.2
2012-06-15;8.2
2012-06-22;8.2
2012-06-29;8.2
2012-07-06;8.2
2012-07-13;8.2
2012-07-20;8.2
2012-07-27;8.2
2012-08-03;8.1
2012-08-10;8.1
2012-08-17;8.1
2012-08-24;8.1
2012-08-31;8.1
2012-09-07;7.8
2012-09-14;7.8
2012-09-21;7.8
2012-09-28;7.8
2012-10-05;7.8
2012-10-12;7.8
2012-10-19;7.8
2012-10-26;7.8
2012-11-02;7.7
2012-11-09;7.7
2012-11-16;7.7
2012-11-23;7.7
2012-11-30;7.7
2012-12-07;7.9
2012-12-14;7.9
2012-12-21;7.9
2012-12-28;7.9
2013-01-04;8.0
2013-01-11;8.0
2013-01-18;8.0
2013-01-25;8.0
2013-02-01;7.7
2013-02-08;7.7
2013-02-15;7.7
2013-02-22;7.7
2013-03-01;7.5
2013-03-08;7.5
2013-03-15;7.5
2013-03-22;7.5
2013-03-29;7.5
2013-04-05;7.6
2013-04-12;7.6
2013-04-19;7.6
2013-04-26;7.6
2013-05-03;7.5
2013-05-10;7.5
2013-05-17;7.5
2013-05-24;7.5
2013-05-31;7.5
2013-06-07;7.5
2013-06-14;7.5
2013-06-21;7.5
2013-06-28;7.5
2013-07-05;7.3
2013-07-12;7.3
2013-07-19;7.3
2013-07-26;7.3
2013-08-02;7.2
2013-08-09;7.2
2013-08-16;7.2
2013-08-23;7.2
2013-08-30;7.2
2013-09-06;7.2
2013-09-13;7.2
2013-09-20;7.2
2013-09-27;7.2
2013-10-04;7.2
2013-10-11;7.2
2013-10-18;7.2
2013-10-25;7.2
2013-11-01;6.9
2013-11-08;6.9
2013-11-15;6.9
2013-11-22;6.9
2013-11-29;6.9
2013-12-06;6.7
2013-12-13;6.7
2013-12-20;6.7
2013-12-27;6.7
2014-01-03;6.6
2014-01-10;6.6
2014-01-17;6.6
2014-01-24;6.6
2014-01-31;6.6
2014-02-07;6.7
2014-02-14;6.7
2014-02-21;6.7
2014-02-28;6.7
2014-03-07;6.7
2014-03-14;6.7
2014-03-21;6.7
2014-03-28;6.7
2014-04-04;6.2
2014-04-11;6.2
2014-04-18;6.2
2014-04-25;6.2
2014-05-02;6.3
2014-05-09;6.3
2014-05-16;6.3
2014-05-23;6.3
2014-05-30;6.3
2014-06-06;6.1
2014-06-13;6.1
2014-06-20;6.1
2014-06-27;6.1
2014-07-04;6.2
2014-07-11;6.2
2014-07-18;6.2
2014-07-25;6.2
2014-08-01;6.1
2014-08-08;6.1
2014-08-15;6.1
2014-08-22;6.1
2014-08-29;6.1
2014-09-05;5.9
2014-09-12;5.9
2014-09-19;5.9
2014-09-26;5.9
2014-10-03;5.7
2014-10-10;5.7
2014-10-17;5.7
2014-10-24;5.7
2014-10-31;5.7
2014-11-07;5.8
2014-11-14;5.8
2014-11-21;5.8
2014-11-28;5.8
2014-12-05;5.6
2014-12-12;5.6
2014-12-19;5.6
2014-12-26;5.6
2015-01-02;5.7
2015-01-09;5.7
2015-01-16;5.7
2015-01-23;5.7
2015-01-30;5.7
2015-02-06;5.5
2015-02-13;5.5
2015-02-20;5.5
2015-02-27;5.5
2015-03-06;5.4
2015-03-13;5.4
2015-03-20;5.4
2015-03-27;5.4
2015-04-03;5.4
2015-04-10;5.4
2015-04-17;5.4
2015-04-24;5.4
2015-05-01;5.6
2015-05-08;5.6
2015-05-15;5.6
